,BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
20th CenFinance,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,20th CenFinance,NA,NA,NA
20th CenPrudent,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,20th CenPrudent,NA,NA,NA
20th CenQuantum,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,20th CenQuantum,NA,NA,NA
63 Moons Tech,606.20, 70.17 new,250.00%,7.92%,10.65,2.00,18.51,290.76,1,3.82,5.92,0.10,93.00,60.20,63.10,63 Moons Tech,93.60,60.35,63.30
A F Ent,7.14,  new,0.00%,-%,-,10.00,39.26,2.77,1,38.50,-,0.97,15.87,4.28,6.93,A F Ent,NA,NA,NA
AAR COMMERCIAL ,48.74,  new,0.00%,-%,0.28,10.00,39.26,10.01,1,35.71,35.71,0.21,10.00,10.00,10.00,AAR COMMERCIAL ,NA,NA,NA
ABC Bearings,120.18, 100 new,20.00%,0.46%,10.26,10.00,36.58,506.70,1,20.74,42.76,3.65,447.00,141.25,438.70,ABC Bearings,NA,NA,NA
ABC India,55.95, 95.24 new,0.00%,-%,-,10.00,28.91,54.50,1,-,-,1.80,116.00,70.00,100.60,ABC India,NA,NA,NA
ABM Knowledg,59.88, 88.48 new,0.00%,-%,9.52,5.00,18.51,291.43,1,14.05,15.30,2.43,180.00,99.00,145.70,ABM Knowledg,NA,NA,NA
ACE Integrated,NA, 0.00 new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,ACE Integrated,41.80,36.00,40.05
ADS Diagnostic ,7.17,  new,0.00%,-%,-,10.00,54.86,0.00,100,-,-,-,NA,NA,NA,ADS Diagnostic ,NA,NA,NA
AGS Infotech,12.58,  new,0.00%,-%,-,10.00,18.34,0.00,1,-,-,-,NA,NA,NA,AGS Infotech,NA,NA,NA
AMEI Power,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,AMEI Power,NA,NA,NA
ANG Industries,-20.21, 74.52 new,0.00%,-%,-,10.00,64.71,12.71,1,-,-,-,17.10,7.05,7.90,ANG Industries,17.25,7.05,7.75
APL Apollo,163.93, 63.31 new,100.00%,0.63%,16.67,10.00,20.73,"3,750.80",1,54.34,95.38,9.70,1738.00,814.00,1590.00,APL Apollo,1741.90,811.00,1599.95
ARC Finance,10.10,  new,0.00%,-%,0.03,10.00,39.26,105.53,1,696.67,696.67,2.07,23.50,10.00,20.90,ARC Finance,NA,NA,NA
ASR Agro,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,ASR Agro,NA,NA,NA
ATN Int,0.91,  new,0.00%,-%,-,4.00,39.26,0.75,1,-,-,0.21,0.54,0.19,0.19,ATN Int,NA,NA,NA
ATN Telefilms,2.58,  new,0.00%,-%,0.01,2.00,40.71,0.00,1,-,-,-,NA,NA,NA,ATN Telefilms,NA,NA,NA
ATV Projects,1.83, 100 new,0.00%,-%,28.49,10.00,31.07,41.43,1,0.27,0.27,4.26,11.64,5.25,7.80,ATV Projects,NA,NA,NA
AVI Industries,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,AVI Industries,NA,NA,NA
AXISCADES Engg,35.41, 34.96 new,0.00%,-%,3.45,5.00,17.90,581.69,1,25.38,44.65,4.35,243.35,126.95,154.05,AXISCADES Engg,243.00,111.15,154.50
Aamcol Tools,23.10,  new,0.00%,-%,-,10.00,27.65,5.29,1,5.04,-,1.53,35.35,31.95,35.35,Aamcol Tools,NA,NA,NA
Aanchal Ispat,19.87, 91.39 new,0.00%,-%,* -,10.00,15.09,26.07,1,-,-,0.63,15.45,3.55,12.50,Aanchal Ispat,NA,NA,NA
Aarvee Denim,112.99, 63.85 new,0.00%,-%,0.51,10.00,29.41,147.56,1,4.31,123.33,0.56,110.90,57.05,62.90,Aarvee Denim,111.00,55.50,62.60
Aashee Infotech,4.43,  new,0.00%,-%,-,10.00,18.51,0.99,1,-,-,0.58,2.60,2.20,2.57,Aashee Infotech,NA,NA,NA
Abhinav Leasing,1.10, 100 new,0.00%,-%,0.04,1.00,39.26,14.99,1,75.00,75.00,2.73,23.70,2.89,3.00,Abhinav Leasing,NA,NA,NA
Abner Pharma,11.67,  new,0.00%,-%,-,10.00,26.20,0.00,1,-,-,-,NA,NA,NA,Abner Pharma,NA,NA,NA
Accel Frontline,-14.91, 100 new,0.00%,-%,-,10.00,18.51,131.10,1,-,-,-,81.80,43.00,44.05,Accel Frontline,81.65,42.40,46.90
Accel Transmati,-22.70,  new,0.00%,-%,-,10.00,22.89,5.10,1,-,-,-,7.00,4.52,4.62,Accel Transmati,NA,NA,NA
Accentia Techno,96.68,  new,0.00%,-%,-,10.00,18.51,0.00,1,-,-,-,NA,NA,NA,Accentia Techno,NA,NA,NA
Ace Stonecraft ,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Ace Stonecraft ,NA,NA,NA
Achal Invest,0.57, 100 new,0.00%,-%,* -,1.00,39.26,11.99,1,190.00,-,3.33,42.00,1.10,1.90,Achal Invest,NA,NA,NA
Acme Resources,32.09, 70.76 new,0.00%,-%,3.90,10.00,39.26,36.04,1,3.56,3.59,0.44,21.00,9.60,14.00,Acme Resources,NA,NA,NA
Action Financia,20.19,  new,0.00%,-%,-,10.00,39.26,11.43,1,36.56,-,0.45,10.70,6.20,9.14,Action Financia,NA,NA,NA
Adam Comsof,35.49,  new,0.00%,-%,5.17,10.00,20.09,0.00,1,-,-,-,NA,NA,NA,Adam Comsof,NA,NA,NA
Adani Enterpris,34.25, 25.18 new,0.00%,-%,2.02,1.00,51.24,"15,243.37",1,50.77,68.61,4.05,160.60,58.35,138.60,Adani Enterpris,160.70,58.35,138.70
Adani Ports,81.44, 58.13 new,65.00%,0.33%,14.98,2.00,30.96,"82,030.40",1,22.52,26.44,4.86,398.40,221.50,396.10,Adani Ports,398.45,221.50,395.75
Adarsh Mercant,15.39,  new,0.00%,-%,0.23,10.00,51.24,1.80,1,21.30,21.30,0.32,4.90,4.67,4.90,Adarsh Mercant,NA,NA,NA
Adhunik Ind,22.45, 76.40 new,0.00%,-%,0.49,10.00,15.09,460.39,1,76.32,200.92,4.39,201.50,94.00,98.45,Adhunik Ind,193.95,88.20,98.30
Adinath Exim,17.24, 100 new,0.00%,-%,0.75,10.00,39.26,8.21,1,26.67,26.67,1.16,27.30,13.50,20.00,Adinath Exim,NA,NA,NA
Aditya Birla,3.17, 89.77 new,0.00%,-%,0.73,1.00,39.26,"1,722.60",1,138.56,184.11,42.40,164.45,23.10,134.40,Aditya Birla,164.90,22.20,134.70
Aditya Birla F,12.90, 59.45 new,0.00%,-%,0.70,10.00,191.91,"12,953.97",1,43.61,239.86,13.02,188.60,127.00,167.90,Aditya Birla F,188.45,126.85,168.00
Aditya Mills,22.18,  new,0.00%,-%,* -,10.00,16.19,0.00,100,-,-,-,NA,NA,NA,Aditya Mills,NA,NA,NA
Aditya Vision,11.28, 100 new,0.00%,-%,* -,10.00,39.71,67.73,8000,-,-,4.26,48.00,15.00,48.00,Aditya Vision,NA,NA,NA
Ador Fontech,54.07, 72.58 new,150.00%,2.91%,5.05,2.00,20.45,180.60,1,14.93,20.44,1.91,108.70,81.55,103.20,Ador Fontech,NA,NA,NA
Ador Technopak,-12.17,  new,0.00%,-%,6.31,10.00,3.59,0.00,1,-,-,-,NA,NA,NA,Ador Technopak,NA,NA,NA
Ador Welding,174.39, 45.38 new,50.00%,1.27%,13.73,10.00,38.64,534.62,1,17.89,28.63,2.25,418.50,255.00,393.15,Ador Welding,419.95,251.00,394.05
Advance Power,14.25,  new,0.00%,-%,-,10.00,17.85,2.12,1,-,-,0.13,2.16,1.60,1.80,Advance Power,NA,NA,NA
Advanced Micron,-88.89,  new,0.00%,-%,-,10.00,35.94,0.00,1,-,-,-,NA,NA,NA,Advanced Micron,NA,NA,NA
Aesculapius Rem,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Aesculapius Rem,NA,NA,NA
Agio Paper,-3.23, 100 new,0.00%,-%,-,10.00,11.71,5.32,1,-,-,-,5.05,1.17,3.30,Agio Paper,NA,NA,NA
Agro Dutch Ind,-86.45,  new,0.00%,-%,-,10.00,55.93,0.00,1,-,-,-,NA,NA,NA,Agro Dutch Ind,NA,NA,NA
Ahimsa Ind,20.59, 100 new,0.00%,-%,* -,10.00,25.38,0.00,6000,-,-,1.27,NA,NA,NA,Ahimsa Ind,27.50,25.00,26.20
Ahlcon Parent,124.75,  new,0.00%,-%,26.86,10.00,31.17,0.00,1,-,-,-,NA,NA,NA,Ahlcon Parent,NA,NA,NA
Akash Housing,10.91,  new,0.00%,-%,1.56,0.00,-,0.00,100,-,-,-,NA,NA,NA,Akash Housing,NA,NA,NA
Akash Infraproj,NA, 72.73 new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Akash Infraproj,144.00,74.00,78.30
Akashdeep Metal,11.22, 100 new,0.00%,-%,0.56,10.00,39.26,9.45,1,53.51,54.46,2.72,30.50,13.12,30.50,Akashdeep Metal,NA,NA,NA
Akzo Nobel Chem,NA,  new,0.00%,-%,-,NA,-,0.00,1,-,-,-,NA,NA,NA,Akzo Nobel Chem,NA,NA,NA
Al-Amanat Finan,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Al-Amanat Finan,NA,NA,NA
Alacrity Sec,12.24, 100 new,0.00%,-%,* -,10.00,39.26,21.16,8000,-,-,0.82,10.05,2.90,10.04,Alacrity Sec,NA,NA,NA
Alan Scott Ind,1.03,  new,0.00%,-%,-,10.00,42.20,2.12,1,-,-,6.31,9.55,6.21,6.50,Alan Scott Ind,NA,NA,NA
Alang Ind Gases,8.49,  new,0.00%,-%,-,10.00,35.12,0.00,1,-,-,-,NA,NA,NA,Alang Ind Gases,NA,NA,NA
Albert David,260.84, 60.94 new,55.00%,1.69%,21.09,10.00,29.58,185.97,1,9.44,15.45,1.25,424.80,276.15,325.85,Albert David,425.00,275.00,327.40
Alert Petrogas,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Alert Petrogas,NA,NA,NA
Alexander Stamp,11.27,  new,0.00%,-%,0.68,10.00,39.26,24.63,1,60.37,60.37,3.64,130.95,32.30,41.05,Alexander Stamp,NA,NA,NA
Alexcon Foam,-19.91,  new,0.00%,-%,-,10.00,16.67,0.00,1,-,-,-,NA,NA,NA,Alexcon Foam,NA,NA,NA
Alfa ICA,31.84, 50.00 new,0.00%,-%,2.33,10.00,44.52,26.06,1,16.37,27.68,2.03,69.90,21.60,64.50,Alfa ICA,NA,NA,NA
Alfavision Sec,24.68,  new,0.00%,-%,1.67,10.00,39.26,17.76,1,28.46,33.74,2.28,79.00,56.05,56.35,Alfavision Sec,NA,NA,NA
Alfred Herbert,618.68, 56.10 new,0.00%,-%,222.48,10.00,27.65,69.54,1,4.03,4.05,1.46,991.60,398.75,901.50,Alfred Herbert,NA,NA,NA
Alka Diamond,18.24, 100 new,0.00%,-%,-,10.00,18.79,4.54,1,-,-,0.51,16.50,9.24,9.35,Alka Diamond,NA,NA,NA
Alka Secur,-0.18, 100 new,0.00%,-%,0.01,1.00,39.26,3.36,1,35.00,35.00,-,0.46,0.19,0.35,Alka Secur,NA,NA,NA
Alkali Metals,48.18, 52.91 new,5.00%,0.73%,0.35,10.00,46.30,70.11,1,17.30,196.71,1.43,107.70,48.00,68.85,Alkali Metals,108.00,54.85,68.30
Alliance Credit,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Alliance Credit,NA,NA,NA
Alliance Funds,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Alliance Funds,NA,NA,NA
Alliance Integ,242.45, 100 new,0.00%,-%,-,10.00,18.00,220.64,1,-,-,0.78,199.50,90.60,190.00,Alliance Integ,NA,NA,NA
Allied Digital,90.34, 100 new,0.00%,-%,0.35,5.00,18.51,126.27,1,8.22,71.86,0.28,46.40,22.90,25.15,Allied Digital,46.40,23.00,25.45
Allsoft Corp,11.79,  new,0.00%,-%,-,10.00,24.70,0.00,0,-,-,-,NA,NA,NA,Allsoft Corp,NA,NA,NA
Almondz Global,47.56, 64.12 new,0.00%,-%,0.58,6.00,39.26,63.94,1,23.52,42.59,0.52,27.75,10.00,24.70,Almondz Global,27.75,9.75,24.60
Alora Trading ,11.14, 100 new,0.00%,-%,0.53,10.00,51.24,30.98,1,46.98,46.98,2.24,35.90,17.20,24.90,Alora Trading ,NA,NA,NA
Alpha Drugs,15.18,  new,0.00%,-%,-,10.00,23.62,0.00,1,-,-,-,NA,NA,NA,Alpha Drugs,NA,NA,NA
Alpha Hi-Tech,3.99,  new,0.00%,-%,-,10.00,30.96,0.00,1,-,-,-,NA,NA,NA,Alpha Hi-Tech,NA,NA,NA
Alpine Capital,10.19,  new,0.00%,-%,* -,10.00,26.39,0.00,100,-,-,-,NA,NA,NA,Alpine Capital,NA,NA,NA
Alps Industries,-175.77, 90.17 new,0.00%,-%,-,10.00,23.65,23.27,1,-,-,-,10.35,4.31,5.95,Alps Industries,10.20,4.50,6.00
Alps Infosys,11.83,  new,0.00%,-%,* -,10.00,27.00,0.00,0,-,-,-,NA,NA,NA,Alps Infosys,NA,NA,NA
Alufluoride,32.73, 90.54 new,0.00%,-%,5.12,10.00,17.90,41.20,1,10.09,11.49,1.80,76.40,19.90,58.85,Alufluoride,NA,NA,NA
Amar Vanijya,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Amar Vanijya,NA,NA,NA
Amarjothi Spin,148.47, 73.87 new,20.00%,0.84%,25.27,10.00,10.59,160.04,1,5.18,9.38,1.60,237.10,84.20,237.10,Amarjothi Spin,NA,NA,NA
Ambik Proteins ,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Ambik Proteins ,NA,NA,NA
Ambika Silk,NA,  new,NA,-%,-,NA,-,0.00,5,-,-,-,NA,NA,NA,Ambika Silk,NA,NA,NA
Ambitious Plast,1.17,  new,0.00%,-%,0.07,10.00,33.56,0.00,1,-,-,-,NA,NA,NA,Ambitious Plast,NA,NA,NA
Ambuja Agro,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Ambuja Agro,NA,NA,NA
Ambuja Flour,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Ambuja Flour,NA,NA,NA
Ambuja Shipping,NA,  new,NA,-%,-,NA,-,0.00,100,-,-,-,NA,NA,NA,Ambuja Shipping,NA,NA,NA
Amco India,63.83,  new,0.00%,-%,4.08,10.00,14.87,12.54,1,4.47,7.48,0.48,40.15,15.10,30.50,Amco India,NA,NA,NA
American Remedy,30.86,  new,0.00%,-%,19.06,10.00,23.62,0.00,1,-,-,-,NA,NA,NA,American Remedy,NA,NA,NA
Ami Computers,-2.73,  new,0.00%,-%,-,10.00,18.34,0.00,1,-,-,-,NA,NA,NA,Ami Computers,NA,NA,NA
Amines Plast,11.23, 71.96 new,10.00%,0.40%,2.82,2.00,22.08,271.80,1,15.25,17.52,4.40,52.80,20.50,49.40,Amines Plast,NA,NA,NA
Amrapali Devlpr,10.75,  new,NA,-%,-,10.00,192.12,0.00,1,-,-,-,NA,NA,NA,Amrapali Devlpr,NA,NA,NA
Amrut Credit,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Amrut Credit,NA,NA,NA
Amrut Ind,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Amrut Ind,NA,NA,NA
Anagram Finance,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Anagram Finance,NA,NA,NA
Anco Comm,11.44,  new,0.00%,-%,* -,10.00,21.35,0.00,1,-,-,-,NA,NA,NA,Anco Comm,NA,NA,NA
Andhra Cement,-1.93, 76.73 new,0.00%,-%,-,10.00,42.58,289.41,1,-,-,-,14.10,6.00,9.86,Andhra Cement,14.10,6.35,9.95
Andhra Petro,13.19, 78.84 new,0.00%,-%,-,10.00,22.08,226.02,1,133.00,-,2.02,34.50,11.57,26.60,Andhra Petro,NA,NA,NA
Andrew Yule,3.13, 67.14 new,0.00%,-%,0.56,2.00,19.70,"1,447.29",1,42.29,52.86,9.46,40.90,18.20,29.60,Andrew Yule,NA,NA,NA
Anik Industries,109.51, 100 new,0.00%,-%,13.69,10.00,15.59,92.14,1,2.37,2.43,0.30,36.15,18.95,33.20,Anik Industries,36.45,19.00,32.85
Anik Ship Break,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Anik Ship Break,NA,NA,NA
Anmol Dairy,NA,  new,0.00%,-%,-,NA,-,0.00,100,-,-,-,NA,NA,NA,Anmol Dairy,NA,NA,NA
Ansal Buildwell,133.98, 100 new,8.00%,0.89%,-,10.00,35.29,66.27,1,263.97,-,0.67,109.75,51.55,89.75,Ansal Buildwell,NA,NA,NA
Ansal Housing,72.02, 54.24 new,6.00%,2.30%,-,10.00,35.29,155.00,1,-,-,0.36,36.00,15.50,26.10,Ansal Housing,36.00,15.50,26.30
Ansal Propertie,107.56, 67.17 new,0.00%,-%,0.57,5.00,35.29,436.80,1,34.26,48.68,0.26,34.50,13.00,27.75,Ansal Propertie,33.65,13.60,27.65
Anugraha Wood,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Anugraha Wood,NA,NA,NA
Anukaran Commer,0.75,  new,0.00%,-%,-,1.00,51.24,0.00,1,-,-,-,NA,NA,NA,Anukaran Commer,NA,NA,NA
Apar Ind,247.74, 53.21 new,100.00%,1.28%,47.64,10.00,17.85,"2,991.65",1,13.25,16.41,3.16,909.00,510.00,781.75,Apar Ind,908.30,502.35,782.60
Apollo Tyres,104.73, 32.69 new,200.00%,0.76%,15.77,1.00,18.80,"13,384.81",1,12.27,16.67,2.51,268.65,154.65,262.95,Apollo Tyres,268.90,154.25,263.20
Apple Amusement,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Apple Amusement,NA,NA,NA
Apple Finance,4.95, 100 new,0.00%,-%,0.01,10.00,39.26,19.04,1,68.40,342.00,0.69,4.72,1.87,3.42,Apple Finance,NA,NA,NA
Apple Mutual,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Apple Mutual,NA,NA,NA
Appollo Stones ,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Appollo Stones ,NA,NA,NA
Aptech,57.85, 23.45 new,0.00%,-%,2.27,10.00,49.52,815.03,1,51.20,90.00,3.53,251.00,68.80,204.30,Aptech,250.75,68.55,204.25
Aqua Pumps,22.41, 100 new,0.00%,-%,0.45,10.00,27.66,21.56,1,22.27,31.67,0.64,20.20,9.10,14.25,Aqua Pumps,NA,NA,NA
Aravali Pipes,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Aravali Pipes,NA,NA,NA
Aravali Sec,-1.13, 100 new,0.00%,-%,-,10.00,39.26,3.27,1,-,-,-,5.23,1.64,2.16,Aravali Sec,NA,NA,NA
Arch Pharmalabs,205.86,  new,0.00%,-%,6.23,10.00,23.62,0.00,100,-,-,-,NA,NA,NA,Arch Pharmalabs,NA,NA,NA
Arfin India,93.36, 91.67 new,15.00%,0.31%,32.13,10.00,11.50,198.91,1,14.00,15.28,5.26,599.00,187.10,491.00,Arfin India,NA,NA,NA
Arhat Ind,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Arhat Ind,NA,NA,NA
Arihant Classic,9.57,  new,0.00%,-%,* -,10.00,23.07,0.00,1,-,-,-,NA,NA,NA,Arihant Classic,NA,NA,NA
Arihant Enter,10.18,  new,0.00%,-%,-,10.00,26.91,0.00,1,-,-,-,NA,NA,NA,Arihant Enter,NA,NA,NA
Arihant Ind,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Arihant Ind,NA,NA,NA
Arihant Thermo,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Arihant Thermo,NA,NA,NA
Arihant Tournes,-1.09,  new,0.00%,-%,-,10.00,16.72,0.00,100,-,-,-,NA,NA,NA,Arihant Tournes,NA,NA,NA
Arlabs,-14.73,  new,NA,-%,* -,0.00,1.40,0.00,50,-,-,-,NA,NA,NA,Arlabs,NA,NA,NA
Armaan Electric,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Armaan Electric,NA,NA,NA
Arman Holdings,13.08,  new,0.00%,-%,0.03,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Arman Holdings,NA,NA,NA
Aroni Comm,185.17,  new,0.00%,-%,0.43,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Aroni Comm,NA,NA,NA
Arora Fibres,6.46,  new,0.00%,-%,-,10.00,19.09,0.00,1,-,-,-,NA,NA,NA,Arora Fibres,NA,NA,NA
Arrow Greentech,34.37, 54.60 new,45.00%,0.80%,10.96,10.00,33.56,657.32,1,46.54,51.09,16.29,595.10,390.50,559.90,Arrow Greentech,581.15,360.00,562.80
Artson Engg,-9.71, 69.50 new,0.00%,-%,7.53,1.00,27.65,222.63,1,7.76,8.01,-,73.00,38.00,60.30,Artson Engg,NA,NA,NA
Arun Processors,2.44,  new,0.00%,-%,-,10.00,25.76,0.00,100,-,-,-,NA,NA,NA,Arun Processors,NA,NA,NA
Arvind Polycot,43.72,  new,NA,-%,2.20,0.00,11.00,0.00,1,-,-,-,NA,NA,NA,Arvind Polycot,NA,NA,NA
Asahi India,20.58, 81.87 new,100.00%,0.36%,5.38,1.00,36.51,"6,708.07",1,28.45,51.29,13.41,280.00,163.20,275.95,Asahi India,279.80,163.00,275.75
Asahi Infra,17.87, 100 new,0.00%,-%,-,10.00,35.29,5.16,1,-,-,0.08,1.62,0.97,1.47,Asahi Infra,NA,NA,NA
Asahi Songwon,131.21, 60.76 new,20.00%,0.64%,20.39,10.00,19.71,385.23,1,11.99,15.39,2.39,336.90,171.05,313.90,Asahi Songwon,337.40,171.80,313.40
Ashiana Housing,70.68, 53.21 new,25.00%,0.27%,6.97,2.00,35.29,"1,875.09",1,23.67,26.28,2.59,250.35,115.80,183.20,Ashiana Housing,249.15,116.30,182.20
Ashim Invest,211.61,  new,10.00%,-%,10.42,10.00,15.01,0.00,1,-,-,-,NA,NA,NA,Ashim Invest,NA,NA,NA
Asia Capital,11.36,  new,0.00%,-%,0.52,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Asia Capital,NA,NA,NA
Asian Agalite,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Asian Agalite,NA,NA,NA
Asian Hotel (W),242.50, 67.80 new,0.00%,-%,-,10.00,59.12,204.99,1,18.48,-,0.74,239.00,145.05,178.90,Asian Hotel (W),247.00,149.00,175.15
Asian Hotels,282.77, 66.08 new,0.00%,-%,-,10.00,59.12,252.89,1,45.14,-,0.46,152.90,96.00,130.00,Asian Hotels,159.00,96.00,132.05
Asian Paints,72.47, 67.11 new,795.00%,0.69%,17.75,1.00,55.80,"110,581.12",1,55.35,64.95,15.91,1230.00,850.10,1152.85,Asian Paints,1227.30,851.10,1153.25
Asian Tractors ,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Asian Tractors ,NA,NA,NA
Asit C Mehta,11.59,  new,0.00%,-%,-,10.00,18.51,15.08,1,14.50,-,2.63,44.60,11.55,30.45,Asit C Mehta,NA,NA,NA
Assam Company,5.31, 64.53 new,0.00%,-%,-,1.00,32.72,211.57,1,-,-,1.29,9.30,4.35,6.83,Assam Company,9.30,4.35,6.85
Assoc Alcohol,54.36, 81.23 new,0.00%,-%,9.61,10.00,94.25,265.67,1,9.38,15.29,2.70,178.75,77.40,146.95,Assoc Alcohol,NA,NA,NA
Assoc Marmo,7.18,  new,0.00%,-%,-,10.00,18.56,0.00,100,-,-,-,NA,NA,NA,Assoc Marmo,NA,NA,NA
AstraZeneca,72.18, 50.23 new,0.00%,-%,9.78,2.00,29.58,"2,326.38",1,57.76,95.15,12.89,1146.95,905.00,930.55,AstraZeneca,1145.00,902.05,928.70
Asutosh Ent,35.69,  new,0.00%,-%,1.54,10.00,10.32,0.00,100,-,-,-,NA,NA,NA,Asutosh Ent,NA,NA,NA
Atash Securitie,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Atash Securitie,NA,NA,NA
Atlanta Devcon,13.25,  new,0.00%,-%,-,10.00,40.52,1.48,1,-,-,0.08,3.18,0.91,1.05,Atlanta Devcon,NA,NA,NA
Atlas Soya,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Atlas Soya,NA,NA,NA
Atma Steels,-89.11,  new,0.00%,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,Atma Steels,NA,NA,NA
Atul Glass,27.48,  new,NA,-%,* -,0.00,-,0.00,1,-,-,-,NA,NA,NA,Atul Glass,NA,NA,NA
Aunde India,33.21, 100 new,0.00%,-%,2.38,10.00,23.65,69.49,1,10.35,27.23,1.95,84.05,36.60,64.80,Aunde India,NA,NA,NA
Auriferous Aqua,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Auriferous Aqua,NA,NA,NA
Austin Eng,152.60, 91.29 new,0.00%,-%,-,10.00,36.58,24.36,1,-,-,0.46,75.50,45.10,70.05,Austin Eng,NA,NA,NA
Authum Invest,55.19, 100 new,0.00%,-%,7.24,10.00,39.26,26.80,1,3.21,3.21,0.42,43.90,23.20,23.25,Authum Invest,NA,NA,NA
Auto Corp Goa,306.16, 69.49 new,175.00%,2.46%,31.92,10.00,37.22,457.19,1,17.51,22.30,2.33,852.00,465.20,711.95,Auto Corp Goa,NA,NA,NA
Auto Products,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Auto Products,NA,NA,NA
Auto Stampings,11.07, 54.84 new,0.00%,-%,-,10.00,37.22,154.36,1,-,-,8.79,99.95,48.25,97.30,Auto Stampings,99.90,48.00,96.95
Autolite India,34.57, 62.04 new,0.00%,-%,0.42,10.00,31.51,67.59,1,21.14,143.93,1.75,73.00,45.40,60.45,Autolite India,72.50,45.00,60.80
Aviva Ind,28.90,  new,0.00%,-%,0.04,10.00,51.24,2.45,1,408.75,408.75,0.57,22.20,16.35,16.35,Aviva Ind,NA,NA,NA
Avon Corp,-3.62,  new,0.00%,-%,-,10.00,51.24,0.00,1,-,-,-,NA,NA,NA,Avon Corp,NA,NA,NA
Avon Industries,-1.71,  new,0.00%,-%,* -,0.00,2.00,0.00,100,-,-,-,NA,NA,NA,Avon Industries,NA,NA,NA
Avonmore Cap,28.44, 89.09 new,0.00%,-%,2.49,10.00,39.26,42.37,1,6.83,6.83,0.60,21.61,8.81,17.00,Avonmore Cap,NA,NA,NA
Axtel Ind,22.84, 72.79 new,0.00%,-%,4.23,10.00,27.65,126.41,1,13.15,18.50,3.43,107.00,26.30,78.25,Axtel Ind,NA,NA,NA
B&A; Packaging,40.02,  new,5.00%,-%,7.48,10.00,23.10,0.00,100,-,-,-,NA,NA,NA,B&A; Packaging,NA,NA,NA
