,BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
Thyrocare Techn,78.26, 84.54 new,100.00%,1.38%,13.93,10.00,54.86,"3,881.53",1,44.85,51.87,9.23,779.90,545.00,722.50,Thyrocare Techn,871.00,540.10,720.15
Tide Water Oil,1845.02, 78.03 new,2750.00%,2.34%,295.37,5.00,30.67,"2,043.97",1,18.53,19.86,3.18,6555.00,5246.95,5865.40,Tide Water Oil,6595.00,5260.00,5891.75
Tiger Logistics,44.56, 56.40 new,0.00%,-%,9.75,10.00,49.59,203.68,1,18.78,19.76,4.32,304.00,138.10,192.65,Tiger Logistics,NA,NA,NA
Timbor Home,23.11,  new,0.00%,-%,-,10.00,30.96,0.00,1,-,-,-,NA,NA,NA,Timbor Home,NA,NA,NA
Time Techno,44.53, 39.85 new,55.00%,0.33%,4.20,1.00,23.10,"3,771.00",1,23.39,39.70,3.74,177.00,59.85,166.75,Time Techno,177.25,60.00,166.45
Tips Industries,50.21, 66.59 new,10.00%,1.46%,2.10,10.00,43.78,97.87,1,21.84,32.55,1.36,85.85,52.00,68.35,Tips Industries,85.95,54.30,68.45
Tirupati Foam,42.42,  new,20.00%,-%,3.61,10.00,33.56,0.00,1,-,-,-,NA,NA,NA,Tirupati Foam,NA,NA,NA
Titagarh Steels,14.52,  new,0.00%,-%,-,10.00,13.36,0.00,1,-,-,-,NA,NA,NA,Titagarh Steels,NA,NA,NA
Titan Secu,10.76, 100 new,0.00%,-%,0.15,10.00,39.26,14.03,1,26.71,37.40,0.52,5.61,2.11,5.61,Titan Secu,NA,NA,NA
Tokyo Finance,16.71, 100 new,0.00%,-%,-,10.00,39.26,5.00,1,-,-,0.43,9.73,4.79,7.17,Tokyo Finance,NA,NA,NA
Tokyo Plast,59.67, 73.31 new,0.00%,-%,7.55,10.00,47.76,138.06,1,14.34,19.25,2.44,167.00,57.00,145.30,Tokyo Plast,169.60,56.30,147.10
Top Telemedia,16.26,  new,0.00%,-%,-,10.00,36.25,0.00,1,-,-,-,NA,NA,NA,Top Telemedia,NA,NA,NA
Torrent Cables,198.39,  new,10.00%,-%,9.17,10.00,26.57,0.00,1,-,-,-,NA,NA,NA,Torrent Cables,NA,NA,NA
Torrent Pharma,263.18, 50.21 new,280.00%,1.12%,50.47,5.00,29.58,"21,097.15",1,18.78,24.70,4.74,1767.80,1143.50,1246.70,Torrent Pharma,1769.50,1141.95,1245.75
TorrentPowerSEC,316.13,  new,36.00%,-%,68.85,10.00,20.08,0.00,1,-,-,-,NA,NA,NA,TorrentPowerSEC,NA,NA,NA
Tosha Inter,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Tosha Inter,NA,NA,NA
Towels India,-17.26,  new,0.00%,-%,* -,10.00,17.18,0.00,100,-,-,-,NA,NA,NA,Towels India,NA,NA,NA
Trans Asia Corp,14.33,  new,0.00%,-%,-,10.00,29.58,1.51,1,-,-,0.20,5.05,2.85,2.90,Trans Asia Corp,NA,NA,NA
Trans Financial,-8.60,  new,0.00%,-%,0.03,10.00,39.26,10.01,1,285.00,665.00,-,21.00,19.00,19.95,Trans Financial,NA,NA,NA
Trans Plastics,-7.17,  new,0.00%,-%,-,10.00,4.69,0.00,100,-,-,-,NA,NA,NA,Trans Plastics,NA,NA,NA
Trans Techno,10.00,  new,NA,-%,* -,10.00,54.15,0.00,1,-,-,-,NA,NA,NA,Trans Techno,NA,NA,NA
Transcorp Intl,17.34, 97.39 new,8.00%,0.88%,0.73,2.00,39.26,46.40,1,15.87,25.00,1.05,31.40,13.55,18.25,Transcorp Intl,NA,NA,NA
Transformers,250.92, 49.86 new,0.00%,-%,3.55,10.00,17.82,460.99,1,17.41,97.96,1.39,475.90,285.00,347.75,Transformers,475.90,280.50,346.45
Translam Ind,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Translam Ind,NA,NA,NA
Transpower Engg,-78.46,  new,0.00%,-%,-,10.00,16.75,0.00,100,-,-,-,NA,NA,NA,Transpower Engg,NA,NA,NA
Trent,46.37, 64.18 new,100.00%,0.39%,3.22,1.00,44.95,"8,577.09",1,59.33,80.16,5.57,2442.40,152.60,258.10,Trent,276.60,173.24,259.25
Trent (W),NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Trent (W),NA,NA,NA
Trezer Oil Agro,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Trezer Oil Agro,NA,NA,NA
Trident,39.62, 61.17 new,9.00%,1.07%,6.61,10.00,10.59,"4,278.05",1,5.71,12.70,2.12,92.30,42.00,83.95,Trident,92.30,42.00,83.90
Trident Tools,-24.15,  new,0.00%,-%,-,10.00,27.65,29.84,1,-,-,-,23.80,10.41,21.25,Trident Tools,NA,NA,NA
Trilochan Trade,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Trilochan Trade,NA,NA,NA
Trimurthi,14.31,  new,0.00%,-%,0.19,10.00,29.58,5.83,1,21.18,37.89,0.50,10.36,5.56,7.20,Trimurthi,NA,NA,NA
Trimurti Synth,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Trimurti Synth,NA,NA,NA
Trinity Bio-Tec,-5.34,  new,0.00%,-%,-,10.00,26.02,0.00,1,-,-,-,NA,NA,NA,Trinity Bio-Tec,NA,NA,NA
Triochem Prods,199.76,  new,0.00%,-%,23.93,10.00,26.63,0.00,1,-,-,-,NA,NA,NA,Triochem Prods,NA,NA,NA
Tripex Overseas,26.34,  new,15.00%,-%,* -,10.00,31.84,0.00,1,-,-,-,NA,NA,NA,Tripex Overseas,NA,NA,NA
Triton Corp,0.23, 100 new,0.00%,-%,-,1.00,18.51,4.20,1,-,-,0.91,0.47,0.19,0.21,Triton Corp,NA,NA,NA
Triton Valves,660.52, 73.43 new,0.00%,-%,83.68,10.00,37.00,175.98,1,9.67,21.24,2.69,1950.00,982.00,1777.50,Triton Valves,NA,NA,NA
Triumph Intl,-84.31,  new,0.00%,-%,0.12,10.00,27.21,0.00,1,-,-,-,NA,NA,NA,Triumph Intl,NA,NA,NA
Triveni Enterpr,1.54,  new,0.00%,-%,* -,1.00,40.41,0.00,1,-,-,-,NA,NA,NA,Triveni Enterpr,NA,NA,NA
Tudor India,9.84,  new,0.00%,-%,1.56,10.00,19.78,0.00,1,-,-,-,NA,NA,NA,Tudor India,NA,NA,NA
