,**MARKET CAP (Rs Cr),BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
Enarai Finance,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Enarai Finance,NA,NA,NA
Enbee Trade,,44.22,  new,0.00%,-%,1.54,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Enbee Trade,NA,NA,NA
Encore Software,,-46.60,  new,0.00%,-%,-,10.00,18.51,0.00,1,-,-,-,NA,NA,NA,Encore Software,NA,NA,NA
Engine Valves,,184.54,  new,80.00%,-%,-,0.00,261.35,0.00,1,-,-,-,NA,NA,NA,Engine Valves,NA,NA,NA
EngineersInd,,39.55, 49.60 new,80.00%,2.52%,4.82,5.00,33.58,"10,687.63",1,30.74,32.90,4.01,339.80,106.25,158.60,EngineersInd,175.70,106.30,158.85
Ensa Steel,,66.03, 100 new,0.00%,-%,-,10.00,15.09,1.97,1,-,-,0.06,3.90,1.70,3.85,Ensa Steel,NA,NA,NA
Entegra,,6.16,  new,0.00%,-%,-,10.00,14.55,0.00,1,-,-,-,NA,NA,NA,Entegra,NA,NA,NA
Enterprise Intl,,25.59,  new,0.00%,-%,0.37,10.00,51.24,1.90,1,10.76,17.16,0.25,11.31,2.96,6.35,Enterprise Intl,NA,NA,NA
Eon Electric,,72.72, 100 new,0.00%,-%,2.49,5.00,52.97,118.83,1,19.42,29.72,1.02,95.30,48.00,74.00,Eon Electric,95.30,47.30,73.60
Eris Life,,39.85, 59.82 new,0.00%,-%,* -,1.00,29.58,"8,267.88",1,-,-,15.09,728.00,580.00,601.30,Eris Life,728.00,550.05,601.35
Escorts Finance,,-44.01,  new,0.00%,-%,* -,10.00,39.26,33.01,1,-,-,-,19.18,4.45,8.20,Escorts Finance,NA,NA,NA
Esha Media,,8.68, 100 new,0.00%,-%,-,10.00,18.03,6.86,1,-,-,0.95,8.97,4.50,8.27,Esha Media,NA,NA,NA
Eskay Knit,,-14.74, 100 new,0.00%,-%,-,1.00,9.59,7.02,1,-,-,-,0.40,0.21,0.25,Eskay Knit,NA,NA,NA
Essen Computers,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Essen Computers,NA,NA,NA
Essjay Syntheti,,4.47,  new,0.00%,-%,* -,10.00,10.43,0.00,100,-,-,-,NA,NA,NA,Essjay Syntheti,NA,NA,NA
Ester Ind,,31.34, 77.60 new,0.00%,-%,-,5.00,23.10,353.87,1,19.09,-,1.21,59.00,34.50,37.80,Ester Ind,59.50,34.55,37.85
Eureka Ind,,1.85,  new,0.00%,-%,0.03,10.00,10.59,0.00,100,-,-,-,NA,NA,NA,Eureka Ind,NA,NA,NA
Euro Ceramics,,-35.91, 100 new,0.00%,-%,15.47,10.00,34.04,28.85,1,0.40,0.55,-,15.08,5.52,8.55,Euro Ceramics,15.00,5.65,8.85
Euro India Fres,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Euro India Fres,157.00,78.00,152.70
Euro Industries,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Euro Industries,NA,NA,NA
Euro Leder Fash,,25.81,  new,0.00%,-%,-,10.00,27.40,0.00,1,-,-,-,NA,NA,NA,Euro Leder Fash,NA,NA,NA
Everest Market,,8.76, 100 new,0.00%,-%,-,10.00,18.51,3.16,1,-,-,0.72,12.01,4.32,6.28,Everest Market,NA,NA,NA
Excel,,176.85, 56.89 new,0.00%,-%,32.49,5.00,46.58,614.72,1,10.50,13.78,2.53,496.00,284.50,447.70,Excel,496.00,281.10,450.15
Excel Glasses,,-5.38,  new,0.00%,-%,* -,1.00,36.51,0.00,1,-,-,-,NA,NA,NA,Excel Glasses,NA,NA,NA
Exdon Trading,,9.92,  new,0.00%,-%,* -,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Exdon Trading,NA,NA,NA
Exotic Coal,,8.97,  new,0.00%,-%,-,10.00,44.76,0.00,1,-,-,-,NA,NA,NA,Exotic Coal,NA,NA,NA
ExplicitFinance,,9.08,  new,0.00%,-%,-,10.00,39.26,2.31,1,-,-,0.27,5.88,2.37,2.49,ExplicitFinance,NA,NA,NA
Extol Comm,,-0.25,  new,0.00%,-%,-,10.00,24.31,2.59,50,-,-,-,35.95,1.90,35.95,Extol Comm,NA,NA,NA
FCL Tech,,36.54,  new,0.00%,-%,0.08,0.00,30.00,0.00,1,-,-,-,NA,NA,NA,FCL Tech,NA,NA,NA
FICS Consultanc,,710.87,  new,0.00%,-%,120.08,10.00,23.93,0.00,1,-,-,-,NA,NA,NA,FICS Consultanc,NA,NA,NA
Fact Enterprise,,19.12,  new,0.00%,-%,-,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Fact Enterprise,NA,NA,NA
Fairchem Spec,,18.68, 90.72 new,0.00%,-%,2.25,10.00,46.30,"1,688.68",1,133.23,199.56,24.04,595.00,330.00,449.00,Fairchem Spec,600.00,309.00,449.05
Fairdeal Fila,,31.02, 69.93 new,12.50%,3.76%,2.91,10.00,10.82,20.12,1,4.62,11.43,1.07,38.90,26.35,33.25,Fairdeal Fila,NA,NA,NA
Fairfield Atlas,,61.03,  new,0.00%,-%,16.15,10.00,47.72,0.00,1,-,-,-,NA,NA,NA,Fairfield Atlas,NA,NA,NA
Fame India,,29.13,  new,0.00%,-%,-,10.00,42.37,0.00,1,-,-,-,NA,NA,NA,Fame India,NA,NA,NA
Fast Track,,3.55,  new,0.00%,-%,* -,10.00,43.78,0.00,1,-,-,-,NA,NA,NA,Fast Track,NA,NA,NA
Faze Three Exp,,5.48, 79.08 new,0.00%,-%,16.64,10.00,10.59,280.59,1,6.06,7.14,21.68,157.65,17.50,118.80,Faze Three Exp,NA,NA,NA
Fedders Elec,,129.06, 74.23 new,7.51%,1.07%,6.06,10.00,44.34,237.96,1,7.10,11.56,0.54,89.20,57.20,70.05,Fedders Elec,89.20,57.00,69.90
Fenoplast,,72.47,  new,0.00%,-%,1.44,10.00,33.56,30.18,1,11.47,45.56,0.91,88.55,37.50,65.60,Fenoplast,NA,NA,NA
Fiberweb India,,-30.57, 62.02 new,0.00%,-%,9.90,10.00,33.56,435.47,1,25.70,30.56,-,389.00,76.00,302.50,Fiberweb India,NA,NA,NA
Ficom Industrie,,27.52,  new,0.00%,-%,4.64,10.00,39.26,9.33,1,6.30,6.70,1.13,53.65,18.40,31.10,Ficom Industrie,NA,NA,NA
Ficom Organics,,14.36,  new,0.00%,-%,-,0.00,19.45,0.00,1,-,-,-,NA,NA,NA,Ficom Organics,NA,NA,NA
Finalysis Cr,,9.81,  new,0.00%,-%,-,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Finalysis Cr,NA,NA,NA
Fineotex Chem,,8.93, 67.64 new,10.00%,0.62%,1.43,2.00,46.30,360.61,1,21.89,22.66,3.63,41.70,22.80,32.40,Fineotex Chem,41.70,22.55,32.25
Finolex Ind,,184.65, 93.61 new,115.00%,1.89%,27.77,10.00,25.38,"7,564.23",1,18.93,21.95,3.30,673.85,385.00,609.55,Finolex Ind,670.90,381.00,607.15
Fintech Comm,,0.07,  new,0.00%,-%,-,10.00,18.51,0.00,1,-,-,-,NA,NA,NA,Fintech Comm,NA,NA,NA
First Winner,,24.08, 99.49 new,0.00%,-%,-,10.00,23.65,10.55,1,-,-,0.09,3.82,1.59,2.10,First Winner,3.55,1.90,3.55
Fishing Falcons,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Fishing Falcons,NA,NA,NA
Flextronics,,193.28,  new,0.00%,-%,34.08,5.00,24.00,0.00,1,-,-,-,NA,NA,NA,Flextronics,NA,NA,NA
Flora Textiles,,-19.32,  new,0.00%,-%,-,10.00,22.67,0.00,100,-,-,-,NA,NA,NA,Flora Textiles,NA,NA,NA
Fomento Resorts,,60.95, 85.71 new,10.00%,0.63%,10.51,10.00,59.12,252.80,1,12.95,15.03,2.59,177.40,97.10,158.00,Fomento Resorts,NA,NA,NA
Foods and Inns,,320.81, 92.75 new,25.00%,0.22%,46.67,10.00,55.93,183.88,1,11.04,24.53,3.57,1325.00,680.00,1145.00,Foods and Inns,NA,NA,NA
Franklin Leasin,,21.73,  new,0.00%,-%,* -,10.00,39.26,33.30,8000,-,-,0.97,22.40,14.95,21.10,Franklin Leasin,NA,NA,NA
Freshtrop Fruit,,45.78, 78.09 new,10.00%,0.95%,7.42,10.00,14.04,128.25,1,9.89,14.23,2.31,128.00,70.00,105.60,Freshtrop Fruit,NA,NA,NA
Frontier Info,,-1.19,  new,0.00%,-%,-,10.00,18.51,0.00,1,-,-,-,NA,NA,NA,Frontier Info,NA,NA,NA
Frontline Finan,,10.78,  new,0.00%,-%,0.02,10.00,27.21,0.00,100,-,-,-,NA,NA,NA,Frontline Finan,NA,NA,NA
Frontline Sol,,5.56, 99.94 new,0.00%,-%,-,5.00,17.90,16.63,1,-,-,1.40,8.59,7.22,7.80,Frontline Sol,NA,NA,NA
Frontline Trans,,12.74,  new,0.00%,-%,2.39,10.00,28.91,6.13,1,0.38,5.13,0.96,32.00,12.25,12.25,Frontline Trans,NA,NA,NA
Fuller KCP,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Fuller KCP,NA,NA,NA
Funny Software,,10.73, 99.10 new,0.00%,-%,* -,10.00,18.51,25.94,1,-,-,1.20,14.69,4.95,12.92,Funny Software,NA,NA,NA
Fusion Polymers,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Fusion Polymers,NA,NA,NA
Future Ent DVR,,70.17, 90.84 new,12.00%,0.75%,-,2.00,44.95,0.00,1,2.24,-,0.46,34.70,14.05,32.10,Future Ent DVR,34.35,14.50,32.20
Future Market,,27.73, 76.91 new,0.00%,-%,-,10.00,35.29,400.79,1,192.43,-,2.57,93.95,25.10,71.20,Future Market,93.50,24.30,71.55
G-Tech Info,,0.97,  new,0.00%,-%,0.03,1.00,18.51,0.80,1,76.00,76.00,2.35,5.10,2.28,2.28,G-Tech Info,NA,NA,NA
GCM Capital,,20.26,  new,0.00%,-%,* -,10.00,39.26,5.35,1000,-,-,0.16,24.30,2.00,3.16,GCM Capital,NA,NA,NA
GDR Media,,15.24,  new,0.00%,-%,-,10.00,21.91,0.00,1,-,-,-,NA,NA,NA,GDR Media,NA,NA,NA
GE Power India,,138.19, 63.50 new,0.00%,-%,0.05,10.00,17.82,"4,802.39",1,79.82,"14,287.00",5.17,746.50,440.50,714.35,GE Power India,747.90,435.50,715.55
GE Shipping,,342.36, 66.24 new,36.00%,0.90%,39.89,10.00,14.21,"6,006.96",1,6.16,9.99,1.16,477.00,334.00,398.40,GE Shipping,477.50,334.50,397.60
GE T&D; India,,40.34, 40.82 new,90.00%,0.46%,6.74,2.00,17.82,"10,106.16",1,38.73,58.56,9.78,425.00,277.05,394.70,GE T&D; India,433.80,277.85,394.60
GEE,,27.63, 99.65 new,15.00%,0.61%,1.23,2.00,38.64,117.07,1,18.91,40.28,1.79,67.50,32.00,49.55,GEE,NA,NA,NA
GG Auto Gears,,17.78,  new,0.00%,-%,1.22,10.00,22.66,0.00,1,-,-,-,NA,NA,NA,GG Auto Gears,NA,NA,NA
GIC Rise 91 CBS,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,GIC Rise 91 CBS,NA,NA,NA
GIC Rise II CBS,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,GIC Rise II CBS,NA,NA,NA
GMM Pfaudler,,115.99, 70.13 new,150.00%,0.52%,19.30,2.00,31.07,844.45,1,23.72,29.93,4.98,669.00,343.25,577.70,GMM Pfaudler,NA,NA,NA
GNFC,,205.28, 58.38 new,20.00%,0.67%,33.54,10.00,17.49,"4,661.79",1,6.03,8.94,1.46,322.95,137.00,299.95,GNFC,322.70,137.65,300.05
GOCL Corp,,73.16, 58.49 new,75.00%,0.34%,3.90,2.00,30.67,"2,181.19",1,103.77,112.82,6.01,472.00,195.55,440.00,GOCL Corp,475.65,194.75,441.35
GOL Offshore,,53.93,  new,0.00%,-%,-,10.00,14.21,79.66,1,-,-,0.19,44.70,10.00,10.10,GOL Offshore,44.60,10.05,10.05
GP Petroleums,,30.86, 71.41 new,10.00%,0.55%,3.97,5.00,9.63,461.41,1,20.02,22.80,2.93,103.60,55.00,90.50,GP Petroleums,103.90,54.60,91.00
GR Cables,,-1.67,  new,0.00%,-%,-,10.00,29.67,0.92,1,-,-,-,0.97,0.32,0.32,GR Cables,NA,NA,NA
GRM Overseas,,108.76,  new,0.00%,-%,15.15,10.00,28.07,47.65,1,6.34,8.52,1.19,135.90,50.60,129.15,GRM Overseas,NA,NA,NA
GSS Infotech,,63.64, 100 new,0.00%,-%,-,10.00,18.51,35.14,1,-,-,0.33,38.40,20.50,20.75,GSS Infotech,38.50,20.35,20.80
GTV Engineering,,74.24, 100 new,0.00%,-%,1.24,10.00,27.65,8.90,1,9.25,22.98,0.38,34.00,16.70,28.50,GTV Engineering,NA,NA,NA
Gabriel India,,31.36, 47.87 new,45.00%,0.28%,5.68,1.00,22.25,"2,293.99",1,19.62,28.12,5.09,164.50,97.00,159.70,Gabriel India,164.50,97.00,159.70
Gaekwar Mills,,-1929.90,  new,0.00%,-%,-,100.00,27.41,0.00,5,-,-,-,NA,NA,NA,Gaekwar Mills,NA,NA,NA
Gala Print City,,14.83, 60.00 new,0.00%,-%,* -,10.00,18.03,60.81,1500,-,-,8.62,131.40,43.80,127.85,Gala Print City,NA,NA,NA
Galaxy Bearings,,68.36,  new,0.00%,-%,9.24,10.00,36.58,5.60,100,1.30,1.90,0.26,17.60,6.07,17.60,Galaxy Bearings,NA,NA,NA
Galaxy Commerci,,16.06,  new,0.00%,-%,3.07,10.00,30.96,1.21,1,2.11,3.26,0.62,10.00,10.00,10.00,Galaxy Commerci,NA,NA,NA
Galaxy Ent,,-9.83,  new,0.00%,-%,-,10.00,43.78,25.04,1,-,-,-,26.90,13.80,16.00,Galaxy Ent,NA,NA,NA
Gallops Ent,,4.30,  new,0.00%,-%,-,10.00,27.21,0.00,1,-,-,-,NA,NA,NA,Gallops Ent,NA,NA,NA
Galore Prints,,0.14,  new,0.00%,-%,0.01,10.00,22.43,0.00,1,-,-,-,NA,NA,NA,Galore Prints,NA,NA,NA
Galvani Batteri,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Galvani Batteri,NA,NA,NA
Gammon India,,35.78, 71.59 new,0.00%,-%,-,2.00,35.29,349.25,1,2.80,-,0.26,20.60,8.70,9.45,Gammon India,20.65,8.70,9.45
Gammon Infra,,9.49, 51.45 new,0.00%,-%,0.14,2.00,27.66,443.60,1,31.40,33.64,0.50,5.75,3.41,4.71,Gammon Infra,5.90,3.40,4.70
Gandhinagar Fin,,8.81,  new,0.00%,-%,-,10.00,39.26,0.00,100,-,-,-,NA,NA,NA,Gandhinagar Fin,NA,NA,NA
Ganga Pharma,,,,,,,,,,,,,,,,,Ganga Pharma,,,
Gangotri Textil,,-100.06,  new,0.00%,-%,-,5.00,10.59,3.59,1,-,-,-,1.33,0.73,1.10,Gangotri Textil,1.30,0.60,0.60
Garden Silk,,-28.71, 62.39 new,0.00%,-%,-,10.00,22.67,149.81,1,-,-,-,39.00,25.30,35.60,Garden Silk,38.85,25.20,35.55
Garg Furnace,,10.93,  new,0.00%,-%,-,10.00,5.32,5.41,1,-,-,1.24,15.12,8.26,13.50,Garg Furnace,NA,NA,NA
Garlon Ind,,-11.97,  new,0.00%,-%,-,10.00,14.67,0.00,100,-,-,-,NA,NA,NA,Garlon Ind,NA,NA,NA
Garnet Intl,,81.85, 100 new,7.00%,0.12%,14.18,10.00,39.26,358.56,1,40.28,40.62,7.04,705.00,189.50,576.00,Garnet Intl,NA,NA,NA
Garodia Chemica,,-8.98, 100 new,0.00%,-%,-,10.00,37.92,19.44,100,-,-,-,30.45,26.20,27.00,Garodia Chemica,NA,NA,NA
Garware Nylons ,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Garware Nylons ,NA,NA,NA
Garware Synth,,-3.48, 100 new,0.00%,-%,0.88,10.00,21.22,4.66,1,8.82,9.13,-,11.55,6.01,8.03,Garware Synth,NA,NA,NA
Gateway Distri,,70.55, 87.28 new,70.00%,2.56%,4.76,10.00,30.96,"2,974.26",1,40.65,57.47,3.88,292.00,208.85,273.55,Gateway Distri,292.20,210.35,274.10
Gateway Holding,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Gateway Holding,NA,NA,NA
Gati,,64.10, 44.30 new,40.00%,0.66%,3.03,2.00,67.30,"1,189.29",1,29.85,39.90,1.89,189.45,107.10,120.90,Gati,189.35,106.90,121.20
Gaurav Mercant,,26.82,  new,0.00%,-%,0.46,10.00,51.24,6.92,1,72.08,75.22,1.29,34.60,11.14,34.60,Gaurav Mercant,NA,NA,NA
Gayatri Bio,,-10.59, 100 new,0.00%,-%,-,10.00,30.96,97.30,1,-,-,-,23.40,10.55,12.35,Gayatri Bio,NA,NA,NA
Gayatri Project,,51.51, 64.57 new,20.00%,0.24%,4.20,2.00,35.29,"3,001.76",1,25.54,40.32,3.29,790.00,130.40,169.35,Gayatri Project,182.00,112.04,169.60
Gee Gee Granite,,-0.49,  new,0.00%,-%,-,10.00,25.81,0.00,100,-,-,-,NA,NA,NA,Gee Gee Granite,NA,NA,NA
Geekay Exim,,74.62,  new,0.00%,-%,* -,10.00,115.28,0.00,100,-,-,-,NA,NA,NA,Geekay Exim,NA,NA,NA
Geep Industrial,,625.58, 100 new,0.00%,-%,46.16,10.00,22.44,97.61,1,6.36,6.49,0.48,331.65,98.80,299.40,Geep Industrial,NA,NA,NA
Gem Spinners,,-0.74,  new,0.00%,-%,-,5.00,10.59,0.00,100,-,-,-,NA,NA,NA,Gem Spinners,NA,NA,NA
Gemini Engi-Fab,,,,,,,,,,,,,,,,,Gemini Engi-Fab,,,
Genera Agri,,77.18, 100 new,0.00%,-%,0.06,10.00,442.37,6.24,1,15.09,115.67,0.09,6.94,2.00,6.94,Genera Agri,NA,NA,NA
Gestetner,,78.12,  new,0.00%,-%,28.55,10.00,32.95,0.00,1,-,-,-,NA,NA,NA,Gestetner,NA,NA,NA
Gillette India,,263.24, 58.90 new,249.00%,0.48%,80.50,10.00,57.34,"17,074.65",1,58.34,65.09,19.91,5250.00,4025.00,5240.00,Gillette India,5279.95,4022.20,5243.40
Gleitlager,,-10.82,  new,0.00%,-%,-,10.00,30.44,0.00,1,-,-,-,NA,NA,NA,Gleitlager,NA,NA,NA
Glittke Granite,,7.14,  new,0.00%,-%,0.04,5.00,25.81,6.96,1,6.24,65.50,0.37,3.15,1.52,2.62,Glittke Granite,NA,NA,NA
Global Foods,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Global Foods,NA,NA,NA
Global Infra,,1.38,  new,0.00%,-%,-,1.00,39.26,278.15,1,-,-,7.68,10.70,8.75,10.60,Global Infra,NA,NA,NA
Global Stone,,-11.68,  new,0.00%,-%,-,10.00,18.50,0.00,100,-,-,-,NA,NA,NA,Global Stone,NA,NA,NA
Goa Agro Oils,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Goa Agro Oils,NA,NA,NA
Godavari Drugs,,21.54, 73.89 new,0.00%,-%,2.40,10.00,29.58,30.12,1,11.53,16.67,1.86,54.90,34.00,40.00,Godavari Drugs,NA,NA,NA
Godfrey Phillip,,296.94, 44.44 new,400.00%,0.71%,26.22,2.00,34.73,"5,856.34",1,25.41,42.96,3.79,1542.00,823.15,1126.35,Godfrey Phillip,1542.50,822.95,1130.60
Godrich Finance,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Godrich Finance,NA,NA,NA
Golconda Engine,,31.49,  new,0.00%,-%,3.14,10.00,21.99,0.00,50,-,-,-,NA,NA,NA,Golconda Engine,NA,NA,NA
Gold Line,,1.02, 100 new,0.00%,-%,* -,1.00,39.26,870.01,1,-,-,16.37,312.20,14.70,16.70,Gold Line,NA,NA,NA
Golden Brewerie,,-9.15,  new,0.00%,-%,-,10.00,34.92,0.00,100,-,-,-,NA,NA,NA,Golden Brewerie,NA,NA,NA
Golden Colour,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Golden Colour,NA,NA,NA
Golden Crest Ed,,24.56,  new,0.00%,-%,0.07,10.00,56.05,0.00,1,-,-,-,NA,NA,NA,Golden Crest Ed,NA,NA,NA
Golden Proteins,,-21.66,  new,NA,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,Golden Proteins,NA,NA,NA
Golden Tours,,10.58,  new,0.00%,-%,0.41,0.00,-,0.00,100,-,-,-,NA,NA,NA,Golden Tours,NA,NA,NA
Goldwon Textile,,-1.07,  new,0.00%,-%,-,10.00,17.64,0.00,100,-,-,-,NA,NA,NA,Goldwon Textile,NA,NA,NA
Golkonda Alum,,-1.45, 100 new,0.00%,-%,2.48,10.00,26.06,3.66,1,1.18,1.19,-,5.08,2.90,2.95,Golkonda Alum,NA,NA,NA
Gontermann,,-23.66, 92.24 new,0.00%,-%,-,10.00,29.10,19.34,1,-,-,-,9.20,5.87,8.70,Gontermann,NA,NA,NA
Goodvalue Mkt,,-7.26,  new,0.00%,-%,* -,10.00,16.32,0.00,1,-,-,-,NA,NA,NA,Goodvalue Mkt,NA,NA,NA
Goplee Infotech,,8.76,  new,0.00%,-%,-,10.00,18.51,0.00,1,-,-,-,NA,NA,NA,Goplee Infotech,NA,NA,NA
Gran Heal Pharm,,19.92,  new,0.00%,-%,1.85,10.00,31.17,0.00,100,-,-,-,NA,NA,NA,Gran Heal Pharm,NA,NA,NA
Grandeur Prod,,10.19,  new,0.00%,-%,* -,10.00,51.24,38.47,1,-,-,2.99,30.50,12.50,30.50,Grandeur Prod,NA,NA,NA
Gratex Ind,,8.84, 100 new,0.00%,-%,0.62,10.00,11.71,3.03,1,10.31,16.13,1.13,11.65,8.15,10.00,Gratex Ind,NA,NA,NA
Grauer and Weil,,13.36, 78.34 new,28.00%,0.69%,2.26,1.00,46.30,917.02,1,14.09,17.90,3.03,46.50,27.70,40.45,Grauer and Weil,NA,NA,NA
Greaves Cotton,,37.71, 65.19 new,275.00%,3.40%,7.40,2.00,34.74,"3,950.04",1,17.37,21.86,4.29,178.00,115.20,161.75,Greaves Cotton,178.55,115.35,160.80
Greenview Power,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Greenview Power,NA,NA,NA
Guj Amb Exports,,93.33, 53.94 new,40.00%,0.67%,13.70,2.00,15.59,"1,367.99",1,5.99,8.71,1.28,146.95,70.80,119.30,Guj Amb Exports,153.00,69.50,119.65
Guj Auto Gears,,185.05, 90.47 new,35.00%,0.22%,30.34,2.00,45.28,55.45,1,9.88,10.44,1.71,367.45,164.00,316.85,Guj Auto Gears,NA,NA,NA
Guj Carbon,,-8.94,  new,0.00%,-%,-,10.00,26.40,0.00,1,-,-,-,NA,NA,NA,Guj Carbon,NA,NA,NA
Guj Craft Ind,,35.46, 100 new,0.00%,-%,3.03,10.00,6.79,14.66,1,4.57,9.90,0.85,38.45,19.00,30.00,Guj Craft Ind,NA,NA,NA
Guj Cypromet,,-24.55,  new,0.00%,-%,-,10.00,47.05,0.00,1,-,-,-,NA,NA,NA,Guj Cypromet,NA,NA,NA
Guj Filaments,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Guj Filaments,NA,NA,NA
Guj Fiscon,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Guj Fiscon,NA,NA,NA
Guj Flourochem,,278.46, 77.81 new,350.00%,0.45%,13.32,1.00,29.64,"8,521.61",1,28.87,58.24,2.79,866.60,451.00,775.75,Guj Flourochem,866.00,436.00,777.55
Guj High Tech,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Guj High Tech,NA,NA,NA
Guj Ind Power,,145.79, 68.49 new,27.00%,2.12%,15.16,10.00,14.55,"1,928.45",1,5.41,8.41,0.87,142.10,84.10,127.50,Guj Ind Power,142.90,85.15,127.50
Guj Inject Kera,,-6.22,  new,0.00%,-%,0.06,10.00,26.63,0.00,1,-,-,-,NA,NA,NA,Guj Inject Kera,NA,NA,NA
Guj JHM Hotels,,25.17,  new,0.00%,-%,3.70,10.00,38.28,0.00,100,-,-,-,NA,NA,NA,Guj JHM Hotels,NA,NA,NA
Guj Lyka Organi,,-1.25,  new,NA,-%,0.54,0.00,-,0.00,100,-,-,-,NA,NA,NA,Guj Lyka Organi,NA,NA,NA
Guj NRE (DVR),,7.15, 65.10 new,0.00%,-%,-,10.00,10.65,11.41,1,-,-,0.32,3.84,1.20,2.29,Guj NRE (DVR),3.85,1.20,2.25
Guj Narmada Fly,,1.93,  new,0.00%,-%,-,5.00,117.22,0.00,1,-,-,-,NA,NA,NA,Guj Narmada Fly,NA,NA,NA
Guj Perstorp,,-19.64,  new,0.00%,-%,-,1.00,23.26,0.00,100,-,-,-,NA,NA,NA,Guj Perstorp,NA,NA,NA
Guj Petrosynth,,33.75, 100 new,0.00%,-%,0.67,10.00,25.38,10.73,1,15.26,25.97,0.52,34.45,17.10,17.40,Guj Petrosynth,NA,NA,NA
Guj Sidhee Cem,,16.05, 73.25 new,0.00%,-%,-,10.00,42.58,239.94,1,-,-,1.74,36.25,22.50,27.85,Guj Sidhee Cem,36.20,22.10,27.35
Guj State Petro,,79.22, 68.96 new,15.00%,0.77%,8.81,10.00,18.98,"10,932.89",1,16.18,22.01,2.45,204.00,119.00,193.95,Guj State Petro,204.30,127.05,194.75
Guj Suspension,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Guj Suspension,NA,NA,NA
Guj Vita Pharma,,10.69,  new,5.00%,-%,1.33,10.00,16.95,0.00,1,-,-,-,NA,NA,NA,Guj Vita Pharma,NA,NA,NA
Gujarat Dehyd,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Gujarat Dehyd,NA,NA,NA
Gujarat Gas,,168.67, 91.57 new,25.00%,0.33%,16.21,10.00,32.79,"10,433.93",1,21.71,46.75,4.49,880.00,487.10,757.85,Gujarat Gas,892.60,470.00,758.75
Gujarat Instrum,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Gujarat Instrum,NA,NA,NA
Gujarat Natural,,21.37, 100 new,0.00%,-%,0.11,10.00,9.11,120.13,1,281.82,281.82,1.45,59.40,27.40,31.00,Gujarat Natural,NA,NA,NA
Gujarat Organic,,2152.47,  new,0.00%,-%,596.10,10.00,16.17,4.83,50,0.35,0.40,0.11,240.45,221.00,240.00,Gujarat Organic,NA,NA,NA
Gujarat Pipes,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Gujarat Pipes,NA,NA,NA
Gujarat Refract,,-4.03,  new,0.00%,-%,* -,10.00,49.18,0.00,50,-,-,-,NA,NA,NA,Gujarat Refract,NA,NA,NA
Gujarat Rodrel ,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Gujarat Rodrel ,NA,NA,NA
Gujarat Special,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Gujarat Special,NA,NA,NA
