,**MARKET CAP (Rs Cr),BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
Shanti Pharma,,-11.02,  new,0.00%,-%,-,10.00,29.58,0.00,100,-,-,-,NA,NA,NA,Shanti Pharma,NA,NA,NA
Shantivij Jewel,,86.96,  new,0.00%,-%,1.25,10.00,36.40,0.00,1,-,-,-,NA,NA,NA,Shantivij Jewel,NA,NA,NA
Sharda Crop,,102.04, 57.41 new,30.00%,0.62%,20.92,10.00,46.58,"4,376.60",1,17.87,23.19,4.75,567.80,325.00,485.10,Sharda Crop,570.00,335.30,483.35
Sharda Solvent,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Sharda Solvent,NA,NA,NA
Sharma East Ind,,16.23,  new,0.00%,-%,0.23,10.00,53.77,0.00,100,-,-,-,NA,NA,NA,Sharma East Ind,NA,NA,NA
Shatex,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Shatex,NA,NA,NA
Shaw Wallace,,40.44,  new,10.00%,-%,2.42,10.00,34.48,0.00,1,-,-,-,NA,NA,NA,Shaw Wallace,NA,NA,NA
Sheela Foam,,86.30, 79.50 new,0.00%,-%,22.65,5.00,25.38,"6,268.59",1,46.76,56.73,14.89,1424.90,730.00,1285.00,Sheela Foam,1429.00,730.00,1283.00
Shentracon Chem,,-2.06,  new,0.00%,-%,* -,10.00,16.72,0.00,100,-,-,-,NA,NA,NA,Shentracon Chem,NA,NA,NA
Sheshadri Ind,,-25.40,  new,0.00%,-%,-,10.00,40.41,3.58,1,-,-,-,7.39,3.05,7.22,Sheshadri Ind,NA,NA,NA
Shez Leathers,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Shez Leathers,NA,NA,NA
Shikhar Leasing,,63.10,  new,0.00%,-%,0.34,10.00,26.39,0.00,100,-,-,-,NA,NA,NA,Shikhar Leasing,NA,NA,NA
Shine Computech,,,,,,,,,,,,,,,,,Shine Computech,,,
Shirdi Ind,,,,,,,,,,,,,,,,,Shirdi Ind,,,
