,**MARKET CAP (Rs Cr),BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
21st Cen Mgt,,55.46, 100 new,0.00%,-%,-,10.00,39.26,25.94,1,-,-,0.45,27.00,15.90,24.70,21st Cen Mgt,NA,NA,NA
ABG Shipyard,,-315.69, 100 new,0.00%,-%,-,10.00,27.83,138.06,1,-,-,-,41.70,9.39,13.85,ABG Shipyard,41.70,9.50,13.80
ABM Inter,,14.32, 100 new,2.50%,0.30%,0.79,10.00,51.24,0.00,1,84.90,-,5.87,NA,NA,NA,ABM Inter,213.60,37.35,84.05
ACC,,461.23, 26.92 new,170.00%,0.98%,37.16,10.00,42.58,"32,452.46",1,24.90,46.51,3.75,1809.80,1257.00,1728.15,ACC,1809.00,1256.55,1731.20
ACE Edutrend,,12.92,  new,0.00%,-%,-,10.00,43.78,2.11,1,1.12,-,0.18,2.49,1.47,2.30,ACE Edutrend,NA,NA,NA
ADC India Comm,,96.34, 100 new,0.00%,-%,8.46,10.00,21.56,113.62,1,27.38,29.20,2.56,324.80,217.00,247.00,ADC India Comm,NA,NA,NA
ADCC Infocad,,59.44, 100 new,10.00%,0.60%,* -,10.00,18.51,153.52,1500,-,-,2.83,178.00,64.00,168.00,ADCC Infocad,NA,NA,NA
ADF Foods,,94.60, 50.87 new,0.00%,-%,5.83,10.00,55.93,481.80,1,24.73,38.98,2.40,316.10,106.00,227.25,ADF Foods,316.00,106.20,226.50
AEC Enterprises,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,AEC Enterprises,NA,NA,NA
AKG Acoustics,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,AKG Acoustics,NA,NA,NA
ALLSEC Tech,,97.15, 59.59 new,0.00%,-%,15.78,10.00,17.90,534.64,1,19.51,22.23,3.61,464.00,215.00,350.85,ALLSEC Tech,463.90,211.00,350.10
AMD Industries,,64.26, 91.00 new,5.00%,1.71%,0.12,10.00,23.10,56.06,1,4.88,243.75,0.46,40.55,25.00,29.25,AMD Industries,40.40,24.90,29.55
ANS Industries,,14.34,  new,0.00%,-%,-,10.00,55.93,20.83,1,250.00,-,1.57,34.00,21.45,22.50,ANS Industries,NA,NA,NA
APR,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,APR,NA,NA,NA
ASL Industries,,27.26,  new,0.00%,-%,* -,10.00,55.13,0.00,4000,-,-,1.18,NA,NA,NA,ASL Industries,35.30,28.25,32.10
AVI Photochem,,11.40,  new,0.00%,-%,-,10.00,29.64,1.82,1,-,-,1.53,22.45,10.29,17.45,AVI Photochem,NA,NA,NA
AVI Polymers,,8.24,  new,0.00%,-%,1.14,10.00,25.38,0.00,1,-,-,-,NA,NA,NA,AVI Polymers,NA,NA,NA
AVS World Trade,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,AVS World Trade,NA,NA,NA
AVTIL Ent,,666.09,  new,0.00%,-%,12.72,10.00,26.39,0.00,1,-,-,-,NA,NA,NA,AVTIL Ent,NA,NA,NA
AYM Syntex,,59.70, 84.65 new,0.00%,-%,10.23,10.00,24.04,286.25,1,4.07,7.13,1.22,103.10,62.00,72.95,AYM Syntex,103.45,61.65,72.90
Aachal Alloys,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Aachal Alloys,NA,NA,NA
Aadi Industries,,-6.89,  new,0.00%,-%,-,10.00,33.56,0.00,1,-,-,-,NA,NA,NA,Aadi Industries,NA,NA,NA
Aankit Granites,,7.23,  new,0.00%,-%,-,10.00,18.50,0.00,100,-,-,-,NA,NA,NA,Aankit Granites,NA,NA,NA
Aarey Drugs,,24.25, 54.04 new,0.00%,-%,3.25,10.00,29.58,231.57,1,35.47,39.40,5.28,134.90,37.90,128.05,Aarey Drugs,NA,NA,NA
Aarti Ind,,167.58, 61.80 new,170.00%,0.87%,37.35,5.00,29.64,"8,066.27",1,19.14,26.30,5.86,1024.95,534.50,982.25,Aarti Ind,1039.70,531.60,984.35
Aarya Global,,14.98,  new,0.00%,-%,0.55,10.00,23.65,0.00,1,-,-,-,NA,NA,NA,Aarya Global,NA,NA,NA
Aaswa Trading,,20.54,  new,0.00%,-%,0.11,10.00,30.76,0.00,50,-,-,-,NA,NA,NA,Aaswa Trading,NA,NA,NA
Aayush Food ,,13.79, 85.50 new,0.00%,-%,1.65,10.00,29.58,15.74,1,29.04,29.39,3.52,48.55,13.85,48.50,Aayush Food ,NA,NA,NA
Aban Offshore,,593.54, 21.53 new,0.00%,-%,36.18,2.00,12.97,"1,070.13",1,2.93,5.07,0.31,286.00,171.10,183.35,Aban Offshore,285.95,171.00,183.55
Abhinav Capital,,31.47,  new,0.00%,-%,4.63,10.00,39.26,59.21,1,18.35,18.47,2.72,94.50,85.50,85.50,Abhinav Capital,NA,NA,NA
Abhishek Finle,,9.04,  new,0.00%,-%,0.11,10.00,39.26,3.54,1,39.52,75.45,0.92,9.58,3.60,8.30,Abhishek Finle,NA,NA,NA
Abhishek Infra,,9.92,  new,0.00%,-%,-,10.00,35.29,1.58,1,-,-,0.49,64.50,4.79,4.85,Abhishek Infra,NA,NA,NA
Accord Synergy,,,,,,,,,,,,,,,,,Accord Synergy,,,
Accurate Transf,,127.84,  new,0.00%,-%,2.41,10.00,17.85,0.00,1,-,-,-,NA,NA,NA,Accurate Transf,NA,NA,NA
Ace Soft Export,,37.90, 100 new,0.00%,-%,2.46,10.00,18.51,10.51,1,8.02,9.13,0.59,29.25,12.08,22.45,Ace Soft Export,NA,NA,NA
Ace Software,,35.76,  new,0.00%,-%,2.14,10.00,18.34,0.00,1,-,-,-,NA,NA,NA,Ace Software,NA,NA,NA
Acme Fluoro Pol,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Acme Fluoro Pol,NA,NA,NA
Acquaint Export,,2.00,  new,0.00%,-%,* -,10.00,10.76,0.00,100,-,-,-,NA,NA,NA,Acquaint Export,NA,NA,NA
Acrow India,,337.13, 100 new,0.00%,-%,-,10.00,27.65,10.28,1,67.50,-,0.48,219.55,132.00,160.65,Acrow India,NA,NA,NA
Action Const,,25.52, 49.04 new,8.00%,0.23%,1.67,2.00,31.07,823.02,1,25.60,42.01,2.75,77.20,41.00,70.15,Action Const,77.40,40.00,70.25
Acumen Trading ,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Acumen Trading ,NA,NA,NA
Adani Trans,,19.29, 33.05 new,0.00%,-%,0.04,10.00,17.82,"13,901.60",1,"3,160.00","3,160.00",6.55,137.00,34.00,126.40,Adani Trans,137.20,36.35,126.30
Add-Life Pharma,,9.73,  new,0.00%,-%,* -,10.00,31.17,0.00,1,-,-,-,NA,NA,NA,Add-Life Pharma,NA,NA,NA
Adel Visi,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Adel Visi,NA,NA,NA
Adhbhut Infra,,17.22,  new,0.00%,-%,-,10.00,35.29,70.73,1,-,-,3.73,64.30,53.55,64.30,Adhbhut Infra,NA,NA,NA
Adhunik Yarns,,-7.25,  new,0.00%,-%,-,10.00,14.67,0.00,100,-,-,-,NA,NA,NA,Adhunik Yarns,NA,NA,NA
Adinath Bio-Lab,,1.33,  new,0.00%,-%,* -,1.00,29.58,0.00,1,-,-,-,NA,NA,NA,Adinath Bio-Lab,NA,NA,NA
Adithya Alkaloi,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Adithya Alkaloi,NA,NA,NA
Adithya Aqua,,1.92,  new,0.00%,-%,0.02,5.00,18.17,0.00,1,-,-,-,NA,NA,NA,Adithya Aqua,NA,NA,NA
Aditya Birla Ch,,190.71,  new,50.00%,-%,22.35,10.00,15.42,0.00,1,-,-,-,NA,NA,NA,Aditya Birla Ch,NA,NA,NA
Aditya Lime,,7.07,  new,NA,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,Aditya Lime,NA,NA,NA
Aditya Polymers,,8.47,  new,0.00%,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,Aditya Polymers,NA,NA,NA
Advance Bio-Coa,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Advance Bio-Coa,NA,NA,NA
Advance Meter,,84.05, 78.88 new,0.00%,-%,-,5.00,52.97,52.59,1,33.76,-,0.39,37.20,20.45,32.75,Advance Meter,NA,NA,NA
Advance Multi,,17.67,  new,0.00%,-%,1.34,10.00,19.28,0.00,100,-,-,-,NA,NA,NA,Advance Multi,NA,NA,NA
Advance Petro,,18.21,  new,0.00%,-%,0.95,10.00,44.76,2.33,50,8.79,27.21,1.42,27.60,22.35,25.85,Advance Petro,NA,NA,NA
Advani Hotels,,10.06, 78.37 new,24.00%,0.74%,1.90,2.00,59.12,298.11,1,23.89,33.95,6.41,73.00,47.10,64.50,Advani Hotels,72.50,47.25,63.65
Agri Marine Exp,,-11.10,  new,0.00%,-%,* -,10.00,65.75,0.00,100,-,-,-,NA,NA,NA,Agri Marine Exp,NA,NA,NA
Agri-Tech,,80.63, 43.12 new,0.00%,-%,21.90,10.00,60.14,36.12,1,2.74,2.78,0.75,70.25,23.50,60.80,Agri-Tech,69.15,23.80,60.60
Agrimas Chem,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Agrimas Chem,NA,NA,NA
Agro Chem Punj,,2.19,  new,0.00%,-%,* -,10.00,21.45,0.00,100,-,-,-,NA,NA,NA,Agro Chem Punj,NA,NA,NA
Ahura Weld,,8.66,  new,0.00%,-%,-,10.00,18.18,0.00,100,-,-,-,NA,NA,NA,Ahura Weld,NA,NA,NA
Aikyam Intellec,,-0.88,  new,0.00%,-%,-,1.00,8.56,0.00,1,-,-,-,NA,NA,NA,Aikyam Intellec,NA,NA,NA
Aimco Pesticide,,21.46, 100 new,0.00%,-%,12.43,10.00,46.58,155.03,1,12.83,13.50,7.82,167.85,42.50,167.85,Aimco Pesticide,NA,NA,NA
Ajwa Fun World,,1.22,  new,0.00%,-%,-,10.00,32.17,0.00,100,-,-,-,NA,NA,NA,Ajwa Fun World,NA,NA,NA
Akai Impex,,-13.78,  new,0.00%,-%,* -,0.00,1.20,0.00,100,-,-,-,NA,NA,NA,Akai Impex,NA,NA,NA
Akash Agencies,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Akash Agencies,NA,NA,NA
Akshay Software,,,,,,,,,,,,,,,,,Akshay Software,,,
Alacrity Elec,,1.71,  new,0.00%,-%,* -,10.00,23.60,0.00,1,-,-,-,NA,NA,NA,Alacrity Elec,NA,NA,NA
Alacrity Housin,,-98.10,  new,0.00%,-%,-,10.00,27.73,0.00,NA,-,-,-,NA,NA,NA,Alacrity Housin,NA,NA,NA
Alembic,,13.77, 58.16 new,7.50%,0.36%,1.10,2.00,29.58,"1,110.85",1,32.25,37.82,3.02,51.65,32.40,41.60,Alembic,51.70,32.30,41.55
Alembic Glass,,595.40,  new,0.00%,-%,-,100.00,4.78,0.00,1,-,-,-,NA,NA,NA,Alembic Glass,NA,NA,NA
Alembic Pharma,,99.05, 69.51 new,200.00%,0.74%,19.18,2.00,29.58,"10,257.15",1,23.07,28.37,5.49,709.30,492.25,544.10,Alembic Pharma,699.00,498.00,542.45
Alexcon Extr,,-0.21,  new,0.00%,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,Alexcon Extr,NA,NA,NA
Alfa Laval,,488.43,  new,0.00%,-%,64.68,10.00,21.54,0.00,1,-,-,-,NA,NA,NA,Alfa Laval,NA,NA,NA
Alkyl Amines,,120.17, 73.15 new,0.00%,-%,24.32,5.00,29.64,844.41,1,13.21,17.02,3.45,539.00,279.60,414.00,Alkyl Amines,538.65,280.00,413.65
Allahabad Bank,,157.27, 12.95 new,0.00%,-%,-,10.00,20.79,"5,573.96",1,-,-,0.48,92.50,57.00,74.95,Allahabad Bank,92.40,57.00,74.95
Alok Industries,,-13.46, 51.72 new,0.00%,-%,-,10.00,22.67,522.00,1,-,-,-,4.40,2.30,3.79,Alok Industries,4.40,2.30,3.80
Alp Exports,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Alp Exports,NA,NA,NA
Alphageo,,182.03, 74.52 new,20.00%,0.23%,75.50,10.00,12.97,542.15,1,8.21,11.28,4.68,1145.50,736.00,851.80,Alphageo,1147.00,718.70,852.65
Alsa Construct,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Alsa Construct,NA,NA,NA
Alsa Marine,,-105.07,  new,0.00%,-%,-,10.00,9.75,0.00,100,-,-,-,NA,NA,NA,Alsa Marine,NA,NA,NA
Alstone Text,,97.71,  new,0.00%,-%,-,10.00,9.59,12.75,1,-,-,0.10,10.00,10.00,10.00,Alstone Text,NA,NA,NA
Aluminium Ind,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Aluminium Ind,NA,NA,NA
Aman Aditya Fin,,-5.86,  new,NA,-%,0.77,10.00,21.91,0.00,50,-,-,-,NA,NA,NA,Aman Aditya Fin,NA,NA,NA
Amaze Entertech,,1.45,  new,0.00%,-%,0.99,10.00,27.65,1.58,1,40.31,45.61,31.14,81.95,34.00,45.15,Amaze Entertech,NA,NA,NA
Ambuja Cem Raj,,-2.62,  new,0.00%,-%,-,0.00,5.00,0.00,1,-,-,-,NA,NA,NA,Ambuja Cem Raj,NA,NA,NA
Aminex Chemical,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Aminex Chemical,NA,NA,NA
Amit Spinning,,-20.68, 100 new,0.00%,-%,-,5.00,10.59,3.09,1,-,-,-,1.42,0.69,0.75,Amit Spinning,1.10,0.50,0.70
Amrapali Cap,,83.30,  new,0.00%,-%,* -,10.00,39.26,27.18,1200,-,-,0.33,48.00,12.30,27.80,Amrapali Cap,NA,NA,NA
Amrapali Ind,,6.61, 99.76 new,0.00%,-%,0.32,5.00,51.24,28.28,1,7.64,17.19,0.83,7.79,3.70,5.50,Amrapali Ind,NA,NA,NA
Amsons Apparels,,10.13, 100 new,0.00%,-%,* -,10.00,23.65,19.16,1,-,-,0.85,10.90,5.31,8.60,Amsons Apparels,NA,NA,NA
Amulya Leasing,,18.56, 100 new,0.00%,-%,-,10.00,39.26,165.06,1,-,-,17.78,449.00,192.40,330.00,Amulya Leasing,NA,NA,NA
Anan Drug,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Anan Drug,NA,NA,NA
Anand Projects,,852.71,  new,0.00%,-%,48.85,10.00,23.93,0.00,50,-,-,-,NA,NA,NA,Anand Projects,NA,NA,NA
Anar Industries,,12.38, 100 new,0.00%,-%,0.02,10.00,51.24,76.41,1,11.94,"3,807.50",6.15,128.00,45.60,76.15,Anar Industries,NA,NA,NA
Anik Ship,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Anik Ship,NA,NA,NA
Anisha Impex,,10.32,  new,0.00%,-%,* -,10.00,51.24,18.73,10000,-,-,1.10,11.40,7.75,11.40,Anisha Impex,NA,NA,NA
Anjani Finance,,12.02,  new,0.00%,-%,0.41,10.00,39.26,5.28,1,12.12,12.71,0.43,7.58,2.85,5.21,Anjani Finance,NA,NA,NA
Anjani Synth,,42.41, 85.55 new,0.00%,-%,3.19,10.00,24.04,26.52,1,2.80,7.70,0.58,34.05,20.05,24.55,Anjani Synth,NA,NA,NA
Ankit Metal,,-21.92, 99.11 new,0.00%,-%,-,10.00,13.79,19.61,1,-,-,-,2.68,1.15,1.39,Ankit Metal,2.75,1.10,1.35
Ankur Drugs,,-9.83,  new,0.00%,-%,-,10.00,26.57,0.00,1,-,-,-,NA,NA,NA,Ankur Drugs,NA,NA,NA
Anshus Clothing,,12.18, 100 new,0.00%,-%,-,10.00,40.41,1.95,1,-,-,0.13,4.03,1.07,1.56,Anshus Clothing,NA,NA,NA
Antarctica,,0.80, 100 new,0.00%,-%,* -,1.00,18.03,0.00,1,140.00,-,1.75,NA,NA,NA,Antarctica,1.95,0.65,1.40
Anup Malleables,,25.58,  new,0.00%,-%,0.53,10.00,29.10,0.00,50,-,-,-,NA,NA,NA,Anup Malleables,NA,NA,NA
Anupama Steel,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Anupama Steel,NA,NA,NA
Anus Labs,,5.37,  new,0.00%,-%,-,1.00,29.58,0.00,1,-,-,-,NA,NA,NA,Anus Labs,NA,NA,NA
Apeejay Tea,,107.18,  new,0.00%,-%,-,10.00,14.47,0.00,1,-,-,-,NA,NA,NA,Apeejay Tea,NA,NA,NA
Aplaya Creation,,1.57, 100 new,0.00%,-%,* -,1.00,51.24,137.19,1,-,-,6.08,41.90,7.96,9.54,Aplaya Creation,NA,NA,NA
Apollo Sindoori,,147.53, 84.33 new,0.00%,-%,46.28,10.00,59.12,0.00,1,13.25,-,4.79,NA,NA,NA,Apollo Sindoori,938.00,239.00,706.00
Apollo Tube,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Apollo Tube,NA,NA,NA
Appu Marketing,,10.60, 98.78 new,0.00%,-%,0.12,10.00,51.24,272.80,1,"1,559.58","1,559.58",17.66,372.00,187.15,187.15,Appu Marketing,NA,NA,NA
Apunka Invest,,9.36,  new,0.00%,-%,0.02,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Apunka Invest,NA,NA,NA
Aqualand India ,,129.37,  new,0.00%,-%,1.47,10.00,19.75,0.00,1,-,-,-,NA,NA,NA,Aqualand India ,NA,NA,NA
Archidply Ind,,58.94, 50.03 new,0.00%,-%,3.03,10.00,32.84,227.93,1,19.83,34.09,1.75,117.90,42.95,103.30,Archidply Ind,118.30,43.10,103.80
Archit Organosy,,25.28, 100 new,0.00%,-%,1.00,10.00,29.64,69.44,1,34.15,46.10,1.82,99.70,12.81,46.10,Archit Organosy,NA,NA,NA
Ardi Investment,,-8.74,  new,0.00%,-%,-,10.00,27.21,0.00,50,-,-,-,NA,NA,NA,Ardi Investment,NA,NA,NA
Aries Agro,,116.13, 59.65 new,15.00%,1.02%,9.12,10.00,46.58,191.10,1,13.94,16.11,1.27,195.90,99.00,146.95,Aries Agro,195.95,98.00,146.50
Arihant Corpora,,10.51,  new,NA,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,Arihant Corpora,NA,NA,NA
Arihant Found,,189.57, 100 new,0.00%,-%,1.28,10.00,35.29,47.09,1,24.01,42.77,0.29,82.50,36.50,54.75,Arihant Found,82.40,36.15,52.00
Arihant Steel,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Arihant Steel,NA,NA,NA
Arihant Super,,27.05, 21.13 new,9.00%,0.50%,6.19,10.00,35.29,742.32,1,28.49,29.14,6.67,211.00,66.00,180.35,Arihant Super,208.80,100.00,180.30
Arihants Sec,,9.60,  new,0.00%,-%,0.12,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Arihants Sec,NA,NA,NA
Arlem Breweries,,NA,  new,0.00%,-%,-,NA,-,0.00,50,-,-,-,NA,NA,NA,Arlem Breweries,NA,NA,NA
Arnav Corp,,10.02, 89.41 new,0.00%,-%,* -,10.00,23.65,7.60,1,-,-,0.08,4.37,0.85,0.85,Arnav Corp,NA,NA,NA
Arpan Leasing,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Arpan Leasing,NA,NA,NA
Arrow Textiles,,19.30, 65.56 new,10.00%,2.24%,1.81,10.00,23.65,85.13,1,11.55,24.70,2.32,55.00,32.00,44.70,Arrow Textiles,56.00,31.65,44.80
Art Nirman,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Art Nirman,36.00,25.00,30.00
Arun Mantex,,-34.51,  new,0.00%,-%,* -,10.00,23.10,0.00,100,-,-,-,NA,NA,NA,Arun Mantex,NA,NA,NA
Arunjyoti Enter,,15.39,  new,0.00%,-%,-,10.00,85.51,0.00,1,-,-,-,NA,NA,NA,Arunjyoti Enter,NA,NA,NA
Arvin Liquid,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Arvin Liquid,NA,NA,NA
Arvind Rashayan,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Arvind Rashayan,NA,NA,NA
Aryan Finefab,,17.00,  new,NA,-%,* -,0.00,0.25,0.00,1,-,-,-,NA,NA,NA,Aryan Finefab,NA,NA,NA
Aryan Pest,,8.18,  new,0.00%,-%,-,10.00,14.04,0.00,100,-,-,-,NA,NA,NA,Aryan Pest,NA,NA,NA
Ascent Exim,,4.97,  new,0.00%,-%,* -,10.00,30.76,0.00,1,-,-,-,NA,NA,NA,Ascent Exim,NA,NA,NA
Ashari Agencies,,11.88,  new,0.00%,-%,1.05,10.00,39.26,14.33,1,15.91,15.91,1.41,16.71,10.00,16.71,Ashari Agencies,NA,NA,NA
Ashiana Ispat,,58.74, 100 new,0.00%,-%,6.95,10.00,12.55,12.05,1,2.64,3.88,0.46,27.00,9.15,27.00,Ashiana Ispat,NA,NA,NA
Ashirwad Steel,,41.20,  new,0.00%,-%,0.80,10.00,13.79,18.09,1,11.13,18.09,0.35,16.00,5.49,14.47,Ashirwad Steel,NA,NA,NA
Ashok Alco-Chem,,102.64, 89.58 new,10.00%,1.02%,4.54,10.00,11.75,45.15,1,14.50,21.62,0.96,145.00,75.00,98.15,Ashok Alco-Chem,NA,NA,NA
Ashoka Refinery,,4.58,  new,0.00%,-%,-,10.00,15.59,3.87,100,-,-,2.48,13.94,11.38,11.38,Ashoka Refinery,NA,NA,NA
Ashtavinayak,,6.41,  new,0.00%,-%,-,1.00,43.78,0.00,1,-,-,-,NA,NA,NA,Ashtavinayak,NA,NA,NA
Asia Refinery,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Asia Refinery,NA,NA,NA
Asian Alloys,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Asian Alloys,NA,NA,NA
Asian Cables,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Asian Cables,NA,NA,NA
Asian Closures ,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Asian Closures ,NA,NA,NA
Asian Consolida,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Asian Consolida,NA,NA,NA
Asian Fertilize,,12.39,  new,0.00%,-%,0.46,10.00,16.32,0.00,100,-,-,-,NA,NA,NA,Asian Fertilize,NA,NA,NA
Asian Films,,14.60,  new,0.00%,-%,-,10.00,36.23,0.00,1,-,-,-,NA,NA,NA,Asian Films,NA,NA,NA
Asian Flora Ltd,,-34.70,  new,0.00%,-%,-,10.00,7.73,0.00,100,-,-,-,NA,NA,NA,Asian Flora Ltd,NA,NA,NA
Asian Food,,306.29,  new,0.00%,-%,-,10.00,32.00,0.00,50,-,-,-,NA,NA,NA,Asian Food,NA,NA,NA
Asian Ind Ent,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Asian Ind Ent,NA,NA,NA
Asian Star,,363.58,  new,15.00%,0.23%,27.79,10.00,18.79,"1,027.64",1,17.08,23.10,1.77,819.00,601.00,642.00,Asian Star,NA,NA,NA
Asian Vegpro,,4.57,  new,0.00%,-%,0.13,10.00,51.21,0.00,100,-,-,-,NA,NA,NA,Asian Vegpro,NA,NA,NA
Assoc Rubber,,2111.25,  new,40.00%,-%,304.94,100.00,21.91,0.00,1,-,-,-,NA,NA,NA,Assoc Rubber,NA,NA,NA
Associated Cera,,53.24,  new,0.00%,-%,-,10.00,72.54,0.00,1,-,-,-,NA,NA,NA,Associated Cera,NA,NA,NA
Astra Microwave,,52.44, 56.45 new,0.00%,-%,7.29,2.00,27.65,"1,197.41",1,13.73,18.96,2.64,149.40,101.75,138.25,Astra Microwave,149.25,101.50,138.00
Astral Poly Tec,,69.72, 72.61 new,50.00%,0.08%,8.90,1.00,63.54,"7,539.31",1,50.81,70.73,9.03,728.75,368.00,629.50,Astral Poly Tec,765.00,367.05,629.65
Astron Drugs,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Astron Drugs,NA,NA,NA
Asya Infosoft,,14.64, 98.34 new,0.00%,-%,0.12,10.00,18.51,56.55,1,312.67,390.83,3.20,70.00,31.60,46.90,Asya Infosoft,NA,NA,NA
Athena Constr,,10.16, 100 new,0.00%,-%,* -,10.00,35.29,18.68,2500,-,-,2.45,96.50,18.00,24.90,Athena Constr,NA,NA,NA
Atlantic Spin,,102.79,  new,12.00%,-%,* -,10.00,15.28,0.00,1,-,-,-,NA,NA,NA,Atlantic Spin,NA,NA,NA
Atlas Cycles,,289.09, 100 new,0.00%,-%,15.25,10.00,73.60,128.37,1,12.31,25.89,1.37,694.00,195.20,394.75,Atlas Cycles,695.00,195.00,394.95
Atlas Jewellery,,15.49, 75.85 new,0.00%,-%,-,10.00,118.03,695.52,1,-,-,4.46,92.00,15.65,69.10,Atlas Jewellery,NA,NA,NA
Atul,,647.57, 69.78 new,100.00%,0.45%,80.64,10.00,19.71,"6,606.11",1,20.00,27.62,3.44,2588.00,1885.00,2227.15,Atul,2585.00,1880.00,2229.25
Atul Auto,,68.31, 67.01 new,105.00%,1.24%,16.47,5.00,23.72,962.40,1,22.60,25.80,6.22,512.00,389.85,424.90,Atul Auto,511.00,389.30,425.30
Auran Paper,,-23.44,  new,0.00%,-%,-,10.00,24.84,0.00,1,-,-,-,NA,NA,NA,Auran Paper,NA,NA,NA
AurangabadPaper,,-23.44,  new,0.00%,-%,2.65,10.00,11.71,0.00,1,-,-,-,NA,NA,NA,AurangabadPaper,NA,NA,NA
Auro Labs,,16.03, 80.10 new,0.00%,-%,4.69,10.00,29.58,49.52,1,13.07,16.94,4.96,88.40,22.00,79.45,Auro Labs,NA,NA,NA
Aurobindo Pharm,,145.38, 44.29 new,250.00%,0.35%,29.13,1.00,29.58,"42,420.82",1,21.28,24.86,4.98,895.00,504.00,724.05,Aurobindo Pharm,895.00,503.05,723.90
Auroknit Export,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Auroknit Export,NA,NA,NA
Auromed Ltd,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Auromed Ltd,NA,NA,NA
Aurum Soft,,0.92, 100 new,0.00%,-%,-,2.00,18.51,7.75,1,-,-,1.29,1.19,0.48,1.19,Aurum Soft,NA,NA,NA
Austral Coke,,-8.82, 100 new,0.00%,-%,0.44,1.00,10.65,0.00,1,0.44,-,-,NA,NA,NA,Austral Coke,0.60,0.15,0.35
Autoline Ind,,27.78, 65.46 new,0.00%,-%,-,10.00,37.00,98.27,1,-,-,2.21,68.45,44.00,61.30,Autoline Ind,68.45,43.80,61.35
Autopal,,10.20,  new,0.00%,-%,1.46,10.00,31.51,0.00,100,-,-,-,NA,NA,NA,Autopal,NA,NA,NA
Autoriders Fin,,-10.31, 100 new,0.00%,-%,-,10.00,39.26,0.77,1,-,-,-,1.65,0.50,0.59,Autoriders Fin,NA,NA,NA
Avery India,,56.46,  new,0.00%,-%,3.29,10.00,16.99,0.00,1,-,-,-,NA,NA,NA,Avery India,NA,NA,NA
