,Company Name,MC Link
63,Luharuka Media ,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/luharukamediainfra/SMW
64,Dynachem Pharma,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/dynachempharmaceuticalsexport/DPE01
65,Dewan Steels,http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/dewansteels/DS10
66,Blue Bird,http://www.moneycontrol.com/india/stockpricequote/printingstationery/bluebirdindia/BBI02
67,Tata AdvMateria,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/tataadvancedmaterials/TAM
68,CF Technologies,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/cftechnologies/CFT
69,Telephone Cable,http://www.moneycontrol.com/india/stockpricequote/cablestelephone/telephonecables/TC02
70,Ready Foods Ltd,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/readyfoods/RFL02
71,LG Balakrishnan,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/lgbalakrishnanbrothers/LGB
72,Pegasus Apparel,http://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/pegasusapparels/PA04
73,Global Syntx,http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/globalsyntex/GS09
74,Shukla Data Tec,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/shukladatatechnics/SDT
75,Welterman Intl,http://www.moneycontrol.com/india/stockpricequote/leatherproducts/weltermaninternational/WI04
76,Beekay Niryat,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/beekayniryat/BN02
77,Micro Energy,http://www.moneycontrol.com/india/stockpricequote/electricals/microenergyindia/MEI
78,Tulsi Extrusion,http://www.moneycontrol.com/india/stockpricequote/plastics/tulsiextrusions/TE11
79,Divyashakti,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/divyashaktigranites/DG02
80,Synth and Chem,http://www.moneycontrol.com/india/stockpricequote/rubber/syntheticschemicals/SC32
81,Veerhealth Care,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/veerhealthcare/NI08
82,Guj Investa,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/gujaratinvesta/GI17
83,RLF,http://www.moneycontrol.com/india/stockpricequote/textilesgeneral/rlf/RLF
84,Parekh Dist,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/parekhdist/PD03
